provider,email,telephone,website,address,website_url,course_name,course_module,duration,start_date,end_date,delivery_mode,venue,platform,fee,number_of_participants,trainer,certification,hrdc_claimable,course_url,description
,,,,,https://www.navigoasia.com/,Licensed Master Practitioner of NLP®,,7 Training Days,2026-12-03,2026-12-13,Live,Kuala Lumpur • Menara Biomed,,,,Anna & Carsten Cziborr,"Licensed Master Practitioner of NLP® (Society of NLP™, signed by Dr. Richard Bandler)",true,https://www.navigoasia.com/,"Continue beyond foundation-level NLP into deeper work with beliefs, values, advanced patterning, behavioral change, and personal integration. Level 2 • Master. Prerequisite: Licensed Practitioner."
,,,,,https://www.navigoasia.com/,Licensed NLP Coach®,,6 Training Days,2026-06-19,2026-06-28,Live,Kuala Lumpur • Menara Biomed,,,,Anna & Carsten Cziborr,"Licensed NLP Coach® (Society of NLP™, signed by Dr. Richard Bandler)",true,https://www.navigoasia.com/,"Develop a structured NLP coaching approach for advanced questioning, session design, client calibration, feedback and professional coaching discipline. Level 3 • Coach Track. Prerequisite: Licensed Master Practitioner."
,,,,,https://www.navigoasia.com/,Licensed Practitioner of NLP®,,7 Training Days,2026-09-10,2026-09-20,Live,Kuala Lumpur • Menara Biomed,,,,Anna & Carsten Cziborr,"Licensed Practitioner of NLP® (Society of NLP™, signed by Dr. Richard Bandler)",true,https://www.navigoasia.com/,"Build a structured foundation in Authentic NLP™ for communication, behavioral flexibility, emotional self-management, and practical personal effectiveness. Level 1 • Entry. No prerequisites."
&SAMHOUD SDN. BHD.,n.hamurcu@samhoud.com,60192330563,https://www.samhoud.com/,"No. 1, Jalan SS2/65, 47300 Petaling Jaya, Selangor, Malaysia",https://www.samhoud.com/,AI & Leadership Programme,,3 days,2024-09-17,2024-09-29,In-person,,,,,"Remy Middelhoff, Salem Samhoud, Roosmaryn Spliet, Tijs Besieux, Amir Goldberg",,,https://info.samhoud.com/en/aileadership,"A three-day executive programme for senior leaders to develop strategic AI leadership capabilities, focusing on integrating technology, people, and strategy; covering AI fundamentals, ethical implications, transformation leadership, adoption acceleration, and human-centered leadership in the AI era."
11 FUTURE LEADERS TRAINING AND CONSULTANCY,mjude11@outlook.com,60123276027,https://11futureleaders.com/,"Mutiara Residency Condominium, Suite 7-7, No. 69 Jalan Thambu Abdullah 50470 KL, Malaysia",https://11futureleaders.com/,Business & Management,,,,,,,,,,,,,https://11futureleaders.com/category/courses/business-management,"A course category under Business & Management training offered by 11 Future Leaders Training & Consultancy, focused on empowering people and shaping the future through strategic business acumen."
11 FUTURE LEADERS TRAINING AND CONSULTANCY,mjude11@outlook.com,60123276027,https://11futureleaders.com/,"Mutiara Residency Condominium, Suite 7-7, No. 69 Jalan Thambu Abdullah 50470 KL, Malaysia",https://11futureleaders.com/,Coaching and Mentoring for Effective Managers,,,,,,,,,,,,,https://11futureleaders.com/2025/09/05/future-leaderes-coaching-and-mentoring-for-effective-managers,"A Management & Leadership course equipping managers with foundational coaching and mentoring knowledge, active listening, feedback delivery, powerful questioning, relationship building, and talent development skills."
11 FUTURE LEADERS TRAINING AND CONSULTANCY,mjude11@outlook.com,60123276027,https://11futureleaders.com/,"Mutiara Residency Condominium, Suite 7-7, No. 69 Jalan Thambu Abdullah 50470 KL, Malaysia",https://11futureleaders.com/,Customer Service,,,,,,,,,,,,,https://11futureleaders.com/category/courses/customer-service,"A course category under Customer Service training offered by 11 Future Leaders Training & Consultancy, focused on empowering people and shaping the future through service excellence."
11 FUTURE LEADERS TRAINING AND CONSULTANCY,mjude11@outlook.com,60123276027,https://11futureleaders.com/,"Mutiara Residency Condominium, Suite 7-7, No. 69 Jalan Thambu Abdullah 50470 KL, Malaysia",https://11futureleaders.com/,Digital Transformation,,,,,,,,,,,,,https://11futureleaders.com/category/courses/digital-transformation,"A course category under Digital Transformation training offered by 11 Future Leaders Training & Consultancy, focused on empowering people and shaping the future through digital capability building."
11 FUTURE LEADERS TRAINING AND CONSULTANCY,mjude11@outlook.com,60123276027,https://11futureleaders.com/,"Mutiara Residency Condominium, Suite 7-7, No. 69 Jalan Thambu Abdullah 50470 KL, Malaysia",https://11futureleaders.com/,Executive Leadership Coaching,,6 months,,,"face-to-face, virtual, or hybrid",,,RM 500.00 / hour,,"Ranjinath Muniandy, DTM",,,https://11futureleaders.com/coaching,"A six-month transformative coaching program designed for managers, senior managers, and executives to strengthen decision-making, enhance team management, and develop emotional intelligence."
11 FUTURE LEADERS TRAINING AND CONSULTANCY,mjude11@outlook.com,60123276027,https://11futureleaders.com/,"Mutiara Residency Condominium, Suite 7-7, No. 69 Jalan Thambu Abdullah 50470 KL, Malaysia",https://11futureleaders.com/,Human Resources,,,,,,,,,,,,,https://11futureleaders.com/category/courses/human-resources,"A course category under Human Resources training offered by 11 Future Leaders Training & Consultancy, focused on empowering people and shaping the future through HR best practices."
