provider,email,telephone,website,address
EJEN2U INTERNATIONAL SDN. BHD.,taufiq.zakir@ejen2u.com,60167124700,,
INTER-CULTURAL LANGUAGE SCHOOL (M) SDN BHD,hr@icls.com.my,60122036400,,
THE TRAINING TEAM SDN. BHD.,customerservice@trainingteamintl.com.sg,6587268176,,
MALAYSIAN INTERNATIONAL CHAMBER OF COMMERCE AND INDUSTRY,vishal@micci.com,60362017708,,
NATIONAL ASSOCIATION OF WOMEN ENTREPRENEURS OF MALAYSIA (NAWEM),secretariat.nawem@gmail.com,60162853202,,
THE MALAYSIAN INSTITUTE OF CHARTERED SECRETARIES AND ADMINISTRATORS (MAICSA),training@maicsa.org.my,60322829276,,
TERTIARY INFOTECH SDN. BHD.,saeid@tertiarycourses.com.my,+603 7931 9658,,
THE INSTITUTE OF TAXATION SDN BHD,lynda@rsmmalaysia.my,26102888,,
GREAT SUCCESS CONSULTANCY SDN BHD,pbs115708@yahoo.com,60192168618,,
RMG VENTURES SDN. BHD.,rasamalar_g@hotmail.com,60178793312,,
BIG BERRY CONSULTING SDN BHD,lozyita@bigberryconsulting.com,60123838079,,
MY FLEX HEALTH GROUP SDN. BHD.,admin@myflexhealth.com,60376102098,,
MALAYSIAN FINANCIAL PLANNING COUNCIL,mfpc@mfpc.org.my,60362035899,,
LION REPUTATION MARKETING COACH,james.pereira@lionreputationmarketing.com,60122829156,,
CYPHER GLOBAL MANAGEMENT SERVICES,kevinmurthy1@gmail.com,60162708545,,
CRYSTAL SITE SDN. BHD.,starstudioimage@gmail.com,60192822844,,
NOAHTECH COMPUTER REPAIRING AND SERVICES,jestineycs@yahoo.com,60126682334,,
KL STRATEGIC CHANGE CONSULTING,victorsltan@klscc.com,60123903168,,
DYNAMIC TEAM HOLDINGS SDN BHD,cecilia@dynamicteam.com.my,60166601890,,
TIMES SOFTWARE SDN BHD,soolee.teo@timesoft.com.my,60393880090,,
PM RESOURCES SDN. BHD.,training@pm-resources.com,60389663677,,
CULTURISTIC SDN BHD,sharontong@culturistic.com.my,60351618111,,
QUANTUM FOOD ACADEMY SDN BHD,kristin.chin@quantumfood.com.my,60122037882,,
INSTITUTE OF APPROVED COMPANY SECRETARIES,iacsc19@yahoo.com,60340513787,,
MAX GAYA SDN.BHD.,charles@isogenius.com,60125083678,,
ZOHL CONSULTANCY SDN BHD,info@zohlgroup.com,60362799276,,
MALAYSIAN ENVIRONMENT CLEANING SCIENCE SDN. BHD.,susan@mecsc.com.my,60341083066,,
ZUBEDY (M) SDN. BHD.,fatin@zubedy.com,60126011899,,
VISTAGE MALAYSIA SDN. BHD.,hrdcsupport@vistage.com.my,60322842179,,
CREST ENTERPRISE CONSULTING SDN. BHD.,trainingcecentre@gmail.com,60197001190,,
CPA AUSTRALIA (M) SDN BHD,cpd.malaysia@cpaaustralia.com.au,60327792783,,
QUEST LEARNING SDN. BHD.,customercare@qscasia.com,60389336219,,
EARTHWIN ALS TRAINING ACADEMY SDN. BHD.,nicholas@earthwin.com.my,60122208066,,
PRO-COM COMPUTER SDN BHD,admin@procomcomputer.com.my,60379819791,,
AON MALAYSIA SDN. BHD.,nichole.choi@aon.com,60327737042,,
FINET ASSOCIATES SDN BHD,90018.finet@gmail.com,60173312339,,
CROWE CPE SDN BHD,carol.victor@crowe.my,27889999,,
ITRAIN (M) SDN BHD,alice@itrain.com.my,60327330337,,
NAVIGO ASIA SDN. BHD.,ronald@navigoasia.com,60149656545,,
NINETY FIVE PERCENT SDN. BHD.,kamilah@95percent.com.my,6.01164E+11,,
PENTAWISE SDN. BHD.,inquiry@pentawise.com,60322822630,,
ARBINGER (MALAYSIA) SDN.BHD.,malar@arbingersea.com,60143649441,,
EXPITRIS WORLDWIDE SDN BHD,info@expitris.com,60341617705,,
TMI CONSULTANCY SDN. BHD.,athena.lim@tacktmiglobal.com,60109123680,,
ALLIED VIEW CENTRE SDN. BHD.,juliana@alliedview.com.my,60377837745,,
TRAINING ZONE DOT COM SDN. BHD.,douglas@trainingzone.com.my,60362709883,,
EXCEED EXCELLENCE SDN. BHD.,anita@exceed-excellence.com,60122136776,,
K-PINTAR SDN. BHD.,enquiry@kpintar.com,60322844148,,
TT TRAINING & CONSULTING SDN BHD,admin@ttmedical.com.my,60391345391,,
CITRINE ONE (MALAYSIA) SDN. BHD.,norainatohirin@citrine.com.my,60123409868,,
MAYANG ACADEMY FOR PROFESSIONAL STUDIES SDN. BHD.,mayang.courses@gmail.com,60183158925,,
AQALIVISTA CONSULTING & SERVICES SDN BHD,training@aqalivista.com,60321103012,,
CIMY INTERNATIONAL STANDARDS TRAINING (M) SDN BHD,cimy@cimalaysia.com.my,60327792530,,
BSI SERVICES MALAYSIA SDN. BHD.,FaridahtulHazimah.Fazoli@bsigroup.com,60392129638,,"SUITE 29.01, LEVEL 29,THE GARDENS NORTH TOWER,MID VALLEY CITY,LINGKARAN SYED PUTRA,KUALA LUMPUR,Kuala Lumpur,Malaysia-59200"
MAXVEC SDN BHD,adminmgr@maxvec.com,60341420881,,
MINDTRAC CONSULTING SDN BHD,finance@mind-trac.com,60192162812,,
GLOBAL SAR RESOURCES SDN. BHD.,globalsar@gmail.com,60341491891,,
I WORLD TECHNOLOGY SDN. BHD.,sales@i-world-technology.com,60327100038,,
MATRIX PARADIGM SDN. BHD.,woon@matrixp.net,60164647448,,
IJN COLLEGE SDN BHD,shuhadarosnan@ijn.edu.my,60147320295,,
I-HR CONSULTING SDN. BHD.,stephanie@ihrnet.com,60322873500,,
BFM MEDIA SDN BHD,events@bfm.my,60178128613,,
AGENSI KAUNSELING DAN PENGURUSAN KREDIT,hfed@akpk.org.my,60193785247,,
KASSIM-AYDIN MCPHERSON CONSULTS SDN.BHD.,harithkassim@yahoo.com,6.00122E+11,,
MATRIX CONNEXION SDN BHD,sean@matrixc.com,60322841443,,"UNIT 50-7-7, 7TH FLOOR,,WISMA UOA DAMANSARA,,UNIT 50, JALAN DUNGUN,,DAMANSARA HEIGHTS,,KUALA LUMPUR,Kuala Lumpur,Malaysia-50490"
ENVIROVERKS (M) SDN BHD,finance@enviroverks.com.my,6033358666,,
ALC TRAINING SDN BHD,morliza@alc-group.com,60320359258,,
TOTAL POWER SOLUTION SDN. BHD.,vidyashini@tops-sb.com,60322019536,,
BEST MULTI LEVEL TRAINING SDN BHD,alansoh_kh@yahoo.com,60162089093,,
CHANGERNOMICS SDN BHD,samkurian@changernomics.com,60320929595,,
PRESTIGE ATLANTIC ASIA SDN BHD,mfchew@prestigeatlantic.com.my,60390573428,,
PRIMUS TECHNOLOGY (M) SDN. BHD.,primuscollege@gmail.com,60326916363,,
KEXXEL GROUP SDN. BHD.,boon@kexxel.com,60322821688,,
